Actual,Predicted,obs_ci_lower,obs_ci_upper,Datetime
176.0,156.89392502065684,139.80317472833894,173.98467531297473,2015-06-01 00:00:00-04:00
177.0,156.02281229675538,138.93233310999616,173.1132914835146,2015-06-01 01:00:00-04:00
174.0,156.68953141722042,139.59902071770853,173.78004211673232,2015-06-01 02:00:00-04:00
173.0,155.16792379317914,138.0774264398267,172.2584211465316,2015-06-01 03:00:00-04:00
171.0,154.76540525690427,137.6749110732724,171.85589944053615,2015-06-01 04:00:00-04:00
168.0,153.99580274696274,136.90515457565442,171.08645091827105,2015-06-01 05:00:00-04:00
168.0,154.5835345315802,137.49283367020442,171.67423539295598,2015-06-01 06:00:00-04:00
171.0,155.33560944124136,138.24459498094942,172.4266239015333,2015-06-01 07:00:00-04:00
175.0,156.9595441168889,139.86846186370155,174.05062637007626,2015-06-01 08:00:00-04:00
176.0,158.38322736087974,141.29213925226603,175.47431546949346,2015-06-01 09:00:00-04:00
183.0,160.01594931846807,142.92441277086232,177.10748586607383,2015-06-01 10:00:00-04:00
183.0,161.5961857255655,144.50362997760215,178.68874147352886,2015-06-01 11:00:00-04:00
180.0,162.47271653193224,145.37944464444544,179.56598841941903,2015-06-01 12:00:00-04:00
184.0,162.77446795890165,145.678713250392,179.8702226674113,2015-06-01 13:00:00-04:00
177.0,162.35675457419822,145.26481049975004,179.4486986486464,2015-06-01 14:00:00-04:00
181.0,161.66691734296626,144.57395564422782,178.7598790417047,2015-06-01 15:00:00-04:00
187.0,162.72027275005678,145.62444981150267,179.8160956886109,2015-06-01 16:00:00-04:00
180.0,160.532779131046,143.43440144776048,177.63115681433152,2015-06-01 17:00:00-04:00
178.0,157.2738777705297,140.17986414643855,174.36789139462087,2015-06-01 18:00:00-04:00
172.0,156.9016495246745,139.81047667755516,173.99282237179384,2015-06-01 19:00:00-04:00
174.0,156.14789158972005,139.05686792885928,173.23891525058082,2015-06-01 20:00:00-04:00
177.0,156.1062890272647,139.01548850474677,173.19708954978262,2015-06-01 21:00:00-04:00
